key,en,ar,notes
actions.add,Add,إضافة,
actions.addItems,Add items,إضافة عناصر,
actions.addNote,Add Note,إضافة ملاحظة,
actions.addReason,Add Reason,إضافة سبب,
actions.apply,Apply,تطبيق,
actions.back,Back,رجوع,
actions.browse,Browse,تصفح,
actions.cancel,Cancel,إلغاء,
actions.cannotUndo,This action cannot be undone,لا يمكن التراجع عن هذا الإجراء,
actions.clear,Clear,مسح,
actions.clearAll,Clear all,مسح الكل,
actions.close,Close,إغلاق,
actions.complete,Complete,إكمال,
actions.confirm,Confirm,تأكيد,
actions.continue,Continue,متابعة,
actions.continueEdit,Continue edit,متابعة التحرير,
actions.continueWithEmail,Continue with Email,متابعة بالبريد الإلكتروني,
actions.copied,Copied,تم النسخ,
actions.copy,Copy,نسخ,
actions.create,Create,إنشاء,
actions.delete,Delete,حذف,
actions.disable,Disable,تعطيل,
actions.download,Download,تنزيل,
actions.duplicate,Duplicate,تكرار,
actions.edit,Edit,تحرير,
actions.editImages,Edit images,,
actions.editVariantImages,Edit variant images,,
actions.enable,Enable,تمكين,
actions.export,Export,تصدير,
actions.forceConfirm,Force confirm,تأكيد بالقوة,
actions.hide,Hide,إخفاء,
actions.idCopiedToClipboard,ID copied to clipboard,تم نسخ المعرف إلى الحافظة,
actions.import,Import,استيراد,
actions.logout,Logout,تسجيل الخروج,
actions.publish,Publish,نشر,
actions.remove,Remove,إزالة,
actions.reset,Reset,إعادة تعيين,
actions.revoke,Revoke,إلغاء,
actions.save,Save,حفظ,
actions.saveAndClose,Save and close,,
actions.saveAsDraft,Save as draft,حفظ كمسودة,
actions.saveChanges,Save changes,,
actions.select,Select,اختر,
actions.showMore,Show more,عرض المزيد,
actions.undo,Undo,تراجع,
actions.viewDetails,View details,عرض التفاصيل,
addresses.billingAddress.editHeader,Edit Billing Address,تحرير عنوان الفواتير,
addresses.billingAddress.editLabel,Billing address,عنوان الفواتير,
addresses.billingAddress.header,Billing Address,عنوان الفواتير,
addresses.billingAddress.label,Billing address,عنوان الفواتير,
addresses.billingAddress.sameAsShipping,Same as shipping address,نفس عنوان الشحن,
addresses.contactHeading,Contact,الاتصال,
addresses.locationHeading,Location,الموقع,
addresses.shippingAddress.editHeader,Edit Shipping Address,تحرير عنوان الشحن,
addresses.shippingAddress.editLabel,Shipping address,عنوان الشحن,
addresses.shippingAddress.header,Shipping Address,عنوان الشحن,
addresses.shippingAddress.label,Shipping address,عنوان الشحن,
addresses.title,Addresses,,
apiKeyManagement.actions.copy,Copy API key,نسخ مفتاح API,
apiKeyManagement.actions.copySuccessToast,API key was copied to clipboard.,تم نسخ مفتاح API إلى الحافظة.,
apiKeyManagement.actions.revoke,Revoke API key,إلغاء مفتاح API,
apiKeyManagement.addSalesChannels.list.noRecordsMessage,Create a sales channel first.,أنشئ قناة بيع أولاً.,
apiKeyManagement.create.copySecretTokenFailure,Failed to copy secret key to clipboard.,فشل في نسخ المفتاح السري إلى الحافظة.,
apiKeyManagement.create.copySecretTokenSuccess,Secret key was copied to clipboard.,تم نسخ المفتاح السري إلى الحافظة.,
apiKeyManagement.create.createPublishableHeader,Create Publishable API Key,إنشاء مفتاح API قابل للنشر,
apiKeyManagement.create.createPublishableHint,Create a new publishable API key to limit the scope of requests to specific sales channels.,إنشاء مفتاح API قابل للنشر جديد لتحديد نطاق الطلبات إلى قنوات بيع محددة.,
apiKeyManagement.create.createSecretHeader,Create Secret API Key,إنشاء مفتاح API سري,
apiKeyManagement.create.createSecretHint,Create a new secret API key to access the Medusa API as an authenticated admin user.,إنشاء مفتاح API سري جديد للوصول إلى API Medusa كمستخدم إداري مصادق.,
apiKeyManagement.create.secretKeyCreatedHeader,Secret Key Created,تم إنشاء المفتاح السري,
apiKeyManagement.create.secretKeyCreatedHint,Your new secret key has been generated. Copy and securely store it now. This is the only time it will be displayed.,تم إنشاء مفتاحك السري الجديد. انسخه واحفظه بأمان الآن. هذه هي المرة الوحيدة التي سيتم عرضها.,
apiKeyManagement.create.successToast,API key was successfully created.,تم إنشاء مفتاح API بنجاح.,
apiKeyManagement.delete.successToast,API key {{title}} was successfully deleted.,تم حذف مفتاح API {{title}} بنجاح.,
apiKeyManagement.delete.warning,You are about to delete the API key {{title}}. This action cannot be undone.,أنت على وشك حذف مفتاح API {{title}}. لا يمكن التراجع عن هذا الإجراء.,
apiKeyManagement.domain.publishable,Publishable API Keys,مفاتيح API القابلة للنشر,
apiKeyManagement.domain.secret,Secret API Keys,مفاتيح API السرية,
apiKeyManagement.edit.description,Edit the API key's title.,تحرير عنوان مفتاح API.,
apiKeyManagement.edit.header,Edit API Key,تحرير مفتاح API,
apiKeyManagement.edit.successToast,API key {{title}} was successfully updated.,تم تحديث مفتاح API {{title}} بنجاح.,
apiKeyManagement.fields.createdByLabel,Created by,تم الإنشاء بواسطة,
apiKeyManagement.fields.lastUsedAtLabel,Last used at,آخر استخدام في,
apiKeyManagement.fields.revokedAtLabel,Revoked at,تم الإلغاء في,
apiKeyManagement.fields.revokedByLabel,Revoked by,تم الإلغاء بواسطة,
apiKeyManagement.removeSalesChannel.successToast,Sales channel was successfully removed from the API key.,تمت إزالة قناة البيع بنجاح من مفتاح API.,
apiKeyManagement.removeSalesChannel.successToastBatch_one,{{count}} sales channel was successfully removed from the API key.,تمت إزالة قناة بيع واحدة بنجاح من مفتاح API.,
apiKeyManagement.removeSalesChannel.successToastBatch_other,{{count}} sales channels were successfully removed from the API key.,تمت إزالة {{count}} قنوات بيع بنجاح من مفتاح API.,
apiKeyManagement.removeSalesChannel.warning,You are about to remove the sales channel {{name}} from the API key. This action cannot be undone.,أنت على وشك إزالة قناة البيع {{name}} من مفتاح API. لا يمكن التراجع عن هذا الإجراء.,
apiKeyManagement.removeSalesChannel.warningBatch_one,You are about to remove {{count}} sales channel from the API key. This action cannot be undone.,أنت على وشك إزالة قناة بيع واحدة من مفتاح API. لا يمكن التراجع عن هذا الإجراء.,
apiKeyManagement.removeSalesChannel.warningBatch_other,You are about to remove {{count}} sales channels from the API key. This action cannot be undone.,أنت على وشك إزالة {{count}} قنوات بيع من مفتاح API. لا يمكن التراجع عن هذا الإجراء.,
apiKeyManagement.revoke.successToast,API key {{title}} was successfully revoked.,تم إلغاء مفتاح API {{title}} بنجاح.,
apiKeyManagement.revoke.warning,You are about to revoke the API key {{title}}. This action cannot be undone.,أنت على وشك إلغاء مفتاح API {{title}}. لا يمكن التراجع عن هذا الإجراء.,
apiKeyManagement.salesChannels.alreadyAddedTooltip,The sales channel has already been added to the API key.,تمت إضافة قناة البيع بالفعل إلى مفتاح API.,
apiKeyManagement.salesChannels.description,Add the sales channels that the API key should be limited to.,أضف قنوات البيع التي يجب أن يقتصر عليها مفتاح API.,
apiKeyManagement.salesChannels.list.noRecordsMessage,There are no sales channels in the publishable API key's scope.,لا توجد قنوات بيع في نطاق مفتاح API القابل للنشر.,
apiKeyManagement.salesChannels.successToast_one,{{count}} sales channel was successfully added to the API key.,تمت إضافة قناة بيع واحدة بنجاح إلى مفتاح API.,
apiKeyManagement.salesChannels.successToast_other,{{count}} sales channels were successfully added to the API key.,تمت إضافة {{count}} قنوات بيع بنجاح إلى مفتاح API.,
apiKeyManagement.salesChannels.title,Add Sales Channels,إضافة قنوات البيع,
apiKeyManagement.status.active,Active,نشط,
apiKeyManagement.status.revoked,Revoked,ملغى,
